titulo,editor,region,formato,edicion_plataforma,compatible_switch1,descarga_gb,excepcion_regional,codigo_producto,notas,fecha_lanzamiento,estado
Cyberpunk 2077: Ultimate Edition,CD Projekt Red,NA|EU|JP,Cartucho Completo,Nintendo Switch 2 Edition,No,0,No,,Juego completo confirmado en cartucho.,2025-06-05,Confirmado
Daemon X Machina: Titanic Scion,Marvelous,NA|EU,Cartucho Completo,Nintendo Switch 2 Edition,No,0,Sí: JP es Game-Key Card; Occidente es cartucho completo.,,Edición occidental en cartucho completo.,2025-09-05,Confirmado
Daemon X Machina: Titanic Scion,Marvelous,JP,Game-Key Card,Nintendo Switch 2 Edition,No,17,Sí: NA/EU son cartucho completo.,,La edición japonesa requiere descarga.,2025-09-05,Confirmado
Rune Factory: Guardians of Azuma,Marvelous,NA|EU|JP,Cartucho Completo,Nintendo Switch 2 Edition,No,0,No confirmada,,,2025-05-30,Confirmado
Story of Seasons: Grand Bazaar,Marvelous,NA|EU|JP,Cartucho Completo,Nintendo Switch 2 Edition,No,0,No confirmada,,,2025-08-28,Confirmado
Suikoden I & II HD Remaster,Konami,JP,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2026-03-06,Confirmado
Nobunaga’s Ambition: Awakening Complete Edition,Koei Tecmo,JP,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2025-11-20,Confirmado
Bravely Default Flying Fairy HD Remaster,Square Enix,JP,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2025-06-05,Confirmado
Kunitsu-Gami: Path of the Goddess,Capcom,JP,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2025-06-05,Confirmado
Yakuza 0: Director’s Cut,Sega,JP,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2025-06-05,Confirmado
Puyo Puyo Tetris 2S,Sega,JP,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2025-06-05,Confirmado
Raidou Remastered: The Mystery of the Soulless Army,Atlus,JP,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2025-06-19,Confirmado
Sonic X Shadow Generations,Sega,JP,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2025-06-26,Confirmado
Street Fighter 6,Capcom,JP,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2025-06-05,Confirmado
DRAGON QUEST XI S: Definitive Edition,Square Enix,JP,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2026-09-24,Próximo
Shinobi: Art of Vengeance,Sega,NA|EU,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2026-09-24,Próximo
EA SPORTS FC 27,Electronic Arts,NA|EU,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2026-09-25,Próximo
Sonic Frontiers: Definitive Edition,Sega,NA|EU,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2026-09-24,Próximo
Final Fantasy VII Revelation,Square Enix,NA|EU,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2026-10-30,Próximo
Danganronpa 2x2,Spike Chunsoft,NA|EU,Game-Key Card,Nintendo Switch 2 Edition,No,Por confirmar,No confirmada,,,2027-01-01,Próximo
The Legend of Zelda: Breath of the Wild - Nintendo Switch 2 Edition,Nintendo,NA|EU|JP,Cartucho Completo,Nintendo Switch 2 Edition,No,0,No,,Cartucho de Switch 2; no compatible como cartucho con Switch 1.,2025-06-05,Confirmado
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch 2 Edition,Nintendo,NA|EU|JP,Cartucho Completo,Nintendo Switch 2 Edition,No,0,No,,Cartucho de Switch 2; no compatible como cartucho con Switch 1.,2025-06-05,Confirmado
Mario Kart World,Nintendo,NA|EU|JP,Cartucho Completo,Nintendo Switch 2 Edition,No,0,No,,Juego exclusivo de Nintendo Switch 2.,2025-06-05,Confirmado
